hash,label,question,guidance,code
TH11,Governance|Governance debates,"Briefly, what are the main ongoing issues of debate around how STI policy is governed?","Your answer should provide a synthetic open text of 2 to 3 paragraphs describing the current main debates around the governance of STI policy, including emerging visions and shifts in policy direction.
A policy debate may include various positions or options regarding STI governance matters. These may be expressed in different settings such as government bodies, legislatures, the media, among research and innovation actors, etc. They may or may not have been followed up by concrete actions. Of particular interest are the different positions of various stakeholders and the different options considered during debates. Initiatives resulting from these debates should be reported in the different questions on policy initiatives, as relevant. 
This statement will be used to create dashboards and notes in the STIP Compass portal.
",1.1
TH13,Governance|STI plan or strategy,"What strategies, plans or reforms exist, if any, to provide an overarching strategic direction to STI policy?",Research and/or innovation strategy and plan; economic development strategy and/or plan with a strong emphasis on research and/or innovation; policies introducing a structural change in priorities and strategic agenda relevant for research and innovation policy and governance.,1.2
TH9,Governance|Policy coordination,What arrangements exist to support cross-government coordination in STI policy?,"Overarching/central coordination bodies/departments; cross-ministerial coordination councils; joint priority-setting, agenda-setting or programming mechanisms between different ministries or agencies; strategic advisory body and councils; ad hoc cross-sectoral expert groups.
Cross-government initiatives to co-ordinate and jointly operate different policy initiatives to achieve ambitious goals to address a societal challenge should be reported under the mission-oriented innovation policies theme in the Research and Innovation for Society policy module.
In responding to this question, countries with federal based systems should include STI policy initiatives and programmes intended to improve vertical coordination and the orchestration of policies across multiple levels of government. This might include strategies that involve subnational governments, vertical co-ordination governance bodies, and programmes developed and implemented in partnership with subnational government stakeholders. ",1.3
TH14,Governance|Strategic policy intelligence,What arrangements or policy initiatives exist to strengthen the knowledge and evidence base for STI policy-making and governance (besides evaluation and impact assessment)?,"Dedicated strategic policy intelligence body (high-level expert groups, advisory councils with analytical capacity, foresight departments, etc.).
Regulation, standards and rules related to evidence-based policy making.
Scoreboards, indexes and data for measuring research and innovation; technology assessment; technology foresight; policy monitoring; benchmarking and peer review exercises.
Measures related to evaluation and impact assessment should be reported in the next question.
",1.4
TH15,Governance|Evaluation and impact assessment,"What arrangements exist to initiate, reform, perform or encourage the use of STI evaluation and impact assessment?","Dedicated evaluation or impact assessment (IA) bodies, laws, regulations, standards and rules related to evaluation/IA; Reforms of evaluation/IA frameworks and procedures; Evaluation/IA guidelines; Changes in evaluation/IA instrumentation (e.g. international peer review, bibliometrics, patent counts, commercialisation success rate of research and innovation results, IA studies etc.). Mechanisms and rules to use the evaluation and impact assessment results. 
All initiatives to support, improve and harmonise evaluation and IA in public research, including the adoption of the San Francisco Declaration on Research Assessment (DORA), the Leiden Manifesto, or similar initiatives.
Measures aimed at the design, piloting and implementation of reformed research assessment criteria, tools and processes.
Revision of assessment frameworks of public research by research funding organisations.
System level revision of individual appraisal systems in higher education or public research institutes.
Changes in the use of metrics in evaluation processes; Reviews of impact assessment processes of public research, etc.
Arrangements for conducting system-level evaluation/IA including policy mixes.",1.5
TH110,Governance|Dynamic skills and capabilities for policymaking ,"What arrangements or policy initiatives exist to promote learning and adaptation in policymaking processes in rapidly changing environments, including the cultivation of new skills, processes and ways of working?","Strategies policies, and programmes intended to foster routines and processes to improve strategic policymaking processes and/or cultivate specific skills among policymakers. These initiatives may include a targeted focus on the  development and/or scaling of policy innovation, addressing and responding to rapidly changing environments, or integrating and applying strategic intelligence from multiple sources, among others. Examples include initiatives that promote experimental STI policymaking and pilot programmes, scenario planning, data-driven and evidence-based STI policymaking.",1.6
TH63,Governance|International STI governance policy,"What arrangements exist to support the international governance of STI policy (e.g. joint strategies and agreements, horizontal coordination or regulatory oversight bodies)?","Research and/or innovation strategy and plan regarding the internationalisation of research and innovation activities; bilateral research and innovation cooperation agreements; participation in multilateral initiatives; joint international infrastructures or research centres; strategy and tools to enhance participation in STI programmes from international bodies (European Union, CERN, etc.) - as well as science and technology diplomacy.

",1.7
TH111,"Governance| Strategic autonomy and promotion of critical technologies",What policy initiatives exist to enhance strategic autonomy and investment in critical technologies?,"Initiatives to reduce dependency on foreign technologies, strengthen domestic capabilities, and ensure resilience in critical technology sectors. Consider the following aspects in your answer: Technological Sovereignty: Measures to protect and develop critical technologies domestically, such as artificial intelligence, quantum computing, and biotechnology; Supply Chain Resilience: Policies to diversify and secure supply chains for essential technologies and materials; International Cooperation and Competition: Strategies to balance international collaboration with the need to safeguard national interests in STI; Regulatory and Legal Frameworks: Changes in regulations or laws to support strategic sovereignty, such as export controls, intellectual property protections, and standards development.",1.8
TH91,"Governance| Mission-oriented 
innovation policies","What cross-government initiatives exist, if any, to coordinate and jointly operate different policy initiatives to achieve ambitious goals within a defined timeframe and to address a societal challenge?","Systemic initiatives gathering different policy measures, possibly spanning different stages of the innovation chain and cutting across various policy fields, in order to meet ambitious and concrete goals to address societal challenges (e.g. the EU missions � Climate Change, Cancer, Oceans,Cities,Soil: https://research-and-innovation.ec.europa.eu/funding/funding-opportunities/funding-programmes-and-open-calls/horizon-europe/eu-missions-horizon-europe/eu-mission-cancer_en). Examples include alignment of programmes between research and innovation agencies to provide seamless support to projects from research to demonstration; large-scale research and innovation programmes; inter-ministerial platforms to coordinate targeted actions towards societal challenges; and mission-oriented agency programmes; Challenge-led cross-government programmes and schemes (including �moonshots�).",1.9
TH89,"Governance| Ethics and 
governance of 
emerging 
technologies","What policy initiatives exist, if any, to address ethical and governance challenges raised by emerging technologies (e.g. artificial intelligence, biotechnology, quantum 
computing)?","Dedicated (or significant part of) policy, scheme, programme or governance structure aiming to help stakeholders involved in the development, regulation and use of emerging technologies (e.g. AI systems, biotechnology, quantum computing) to understand and/or address their ethical, legal, and societal aspects (e.g. laws and regulations, codes of ethics and best practice, standards, new ethics bodies or institutions, new mechanisms for public engagement). ",1.10
